order_id,product_id,seller_id,date,num_pieces_sold,bill_raw_text
1,0,0,2022-07-03,61,Apnkojtnlebiezbfdemjninawurkbnugcrfhuuvmunklnxkmxb
2,0,0,2022-07-01,69,wvuhynrzbtvjubjokuibluoblwsglkdhjuwkwojqniobgshnil
3,0,0,2022-07-02,82,xsatoqobejrsbdkcbkcvbeycakzwkqwibbqiyftmzwmssfymop
4,0,0,2022-07-10,79,jmisicdfqklgdcfdbxrpillirrthpveldtajueklanzvfifiwn
5,0,0,2022-07-09,52,lnisjbcxswqkloycqudkbptaitlhyktzgiewzxmrohsodzdasb
6,0,0,2022-07-02,75,kfmnqioxyoazsmalcuhkYfpjxmsbqximotawelunshnkgfbmme
7,0,0,2022-07-10,32,bpewsqjrvsonrbfudaizvbizvlhtyxkzeqdifabvzescrotolz
8,0,0,2022-07-10,21,tgweppjxbyacpzcnntcvbgctqzxlyczurngymrmtltikgdujgs
9,0,0,2022-07-06,23,nyygczzicusbgvfqhqopuwctftgjjaxktzfnmmmfksTPqlpdvv
10,0,0,2022-07-10,99,wzmnpxnyjlehmtrflafysqhhwrcatcpmczishfkbqotbptkpqy
11,0,0,2022-07-01,33,kskakbhreywsdoistpudgngdzqenhafvawjagssqehcafcsfwx
12,0,0,2022-07-02,9,knppvwgxieuedanngpqzlytjgqwndkinxbaoghoxnetukjjeup
13,0,0,2022-07-07,4,tiiptocuvammjvbgwkpdccbodosrtwrgkebupooqjujuzfehuu
14,0,0,2022-07-01,84,xkupkghnreminryhmkhfuwumaecmjmwunnwgxycinufsydmrhl
15,0,0,2022-07-06,86,nugrtwjnajjvfjpkiacreepjfkkljuvrkfysraeziwyozszavc
16,0,0,2022-07-05,8,khaaqOZztjuwdbtmixyHhvzyhlntlewijqrfwmkjstmcennflc
17,0,0,2022-07-01,18,smxfstmfzrrozspntktzydilqdnoidfqrscccpzsidtuwlljpb
18,0,0,2022-07-07,43,spqfpemwojqAbnrtrkpkqyhjgfyphmdzxbkpxigvfngdxzbmak
19,0,0,2022-07-05,22,crqnmawpenhcfsjrdxhrzkixpiopovlhfiiyydwbhsglinhrdv
20,0,0,2022-07-06,40,gcwrfayndvtnqzkcosvlluczmnwqhklfhelyhqwntfdNgebdkl
21,0,0,2022-07-10,74,gxyukqizezccqqwbyfdkrauikylehbomuwgqmdwhloyDfggmdh
22,0,0,2022-07-06,93,bezskzfvydparhffbwvwlfdyJgwnhkzsztrofgutniyiavuudg
23,0,0,2022-07-05,76,dxueazamfolrhstniskfvkxawuwikxvmdiixnboctdsdgzzncw
24,0,0,2022-07-08,72,rxkjfbiuzujjjnzgpmvmmjtoatgjwfovfhestfhpikavoqymyi
25,0,0,2022-07-09,26,sxinydoaeqrnpqayveiphrbfnpxjavarfewzfeiztscsytxgjg
26,0,0,2022-07-02,58,suxMstgskwrswhhourlrwyqcodwjghhzduhhkiyiytrdsfrudo
27,0,0,2022-07-03,20,qnwcxgbpohhicirdtawdpkfkfptwiudghbvejvsukmmcxguyil
28,0,0,2022-07-03,7,ajlyeebelmmuwppnmgxemwgjvzweobqvnzhcttdbwhobrcesps
29,0,0,2022-07-03,44,tvrxmnojqmdwlegoebwrhgawldgowacspyoqrxdnnibyohiule
30,0,0,2022-07-07,78,xswtsxowlbyflrltvqmapghjqgztmwtcdzihpvqslxfhlhobiu
31,0,0,2022-07-03,39,hbbpbzjcoyxdtygxpmehhduczvlalgnxjhyscirgirweuadxwp
32,0,0,2022-07-08,19,nldhhoviYentjvzkpiccwgxhutrubmaaknhvyfuhciajFgthjs
